strain	genbank	date	country	region	division	location	length	host_type	host	authors	date_submitted
ON022472	ON022472	2018-02-24	Brazil	Sudeste	Rio de Janeiro	Angra dos Reis	10172	Human	Homo sapiens	Hill et al	2022-03-16
MK583174	MK583174	2018-02-24	Brazil	Sudeste	São Paulo	Arujá	10980	Human	Homo sapiens	Cunha et al	2019-02-28
MN643084	MN643084	2018-02-25	Brazil	Sudeste	Rio de Janeiro	Teresópolis	11007	Human	Homo sapiens	Abreu et al	2019-11-04
MN643083	MN643083	2018-02-25	Brazil	Sudeste	Rio de Janeiro	Teresópolis	10682	Human	Homo sapiens	Abreu et al	2019-11-04
ON022436	ON022436	2018-02-26	Brazil	Sudeste	Rio de Janeiro	Angra dos Reis	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022433	ON022433	2018-02-26	Brazil	Sudeste	Rio de Janeiro	Angra dos Reis	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022534	ON022534	2018-02-27	Brazil	Sudeste	Rio de Janeiro	Teresópolis	10172	Human	Homo sapiens	Hill et al	2022-03-16
MK583175	MK583175	2018-02-27	Brazil	Sudeste	São Paulo	Itaquaquecetuba	10946	Human	Homo sapiens	Cunha et al	2019-02-28
MK583176	MK583176	2018-02-27	Brazil	Sudeste	São Paulo	Piedade	10945	Human	Homo sapiens	Cunha et al	2019-02-28
ON022453	ON022453	2018-02-28	Brazil	Sudeste	Rio de Janeiro	Angra dos Reis	10172	Non-human primate	Callithrix	Hill et al	2022-03-16
ON022316	ON022316	2018-03-01	Brazil	Sudeste	São Paulo	Guarulhos	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022345	ON022345	2018-03-01	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022572	ON022572	2018-03-01	Brazil	Sudeste	São Paulo	Sarapuí	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022296	ON022296	2018-03-02	Brazil	Sudeste	São Paulo	Juquiá	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022347	ON022347	2018-03-03	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
MK583177	MK583177	2018-03-04	Brazil	Sudeste	São Paulo	Guarulhos	10953	Human	Homo sapiens	Cunha et al	2019-02-28
ON022318	ON022318	2018-03-05	Brazil	Sudeste	São Paulo	Ibiúna	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022349	ON022349	2018-03-10	Brazil	Sudeste	São Paulo	Guarulhos	10172	Non-human primate	Cebus	Hill et al	2022-03-16
MK583178	MK583178	2018-03-10	Brazil	Sudeste	São Paulo	Itariri	10945	Human	Homo sapiens	Cunha et al	2019-02-28
ON022675	ON022675	2018-03-10	Brazil	Sudeste	São Paulo	Sarapuí	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022310	ON022310	2018-03-10	Brazil	Sudeste	São Paulo	Sorocaba	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022285	ON022285	2018-03-11	Brazil	Sudeste	São Paulo	Bananal	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022540	ON022540	2018-03-11	Brazil	Sudeste	São Paulo	Carapicuíba	10172	Human	Homo sapiens	Hill et al	2022-03-16
MK583179	MK583179	2018-03-11	Brazil	Sudeste	São Paulo	Ibiúna	10986	Human	Homo sapiens	Cunha et al	2019-02-28
ON022317	ON022317	2018-03-12	Brazil	Sudeste	São Paulo	Carapicuíba	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022299	ON022299	2018-03-12	Brazil	Sudeste	São Paulo	Pinhalzinho	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022459	ON022459	2018-03-13	Brazil	Sudeste	Rio de Janeiro	Angra dos Reis	10172	Non-human primate	Callithrix	Hill et al	2022-03-16
ON022449	ON022449	2018-03-13	Brazil	Sudeste	Rio de Janeiro	Valença	10172	Non-human primate	Callithrix	Hill et al	2022-03-16
ON022348	ON022348	2018-03-13	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022673	ON022673	2018-03-14	Brazil	Sudeste	São Paulo	Embu Guaçu	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
MK583182	MK583182	2018-03-14	Brazil	Sudeste	São Paulo	Guarulhos	10944	Human	Homo sapiens	Cunha et al	2019-02-28
MK583180	MK583180	2018-03-14	Brazil	Sudeste	São Paulo	Guarulhos	10946	Human	Homo sapiens	Cunha et al	2019-02-28
ON022554	ON022554	2018-03-14	Brazil	Sudeste	São Paulo	Piracaia	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022350	ON022350	2018-03-14	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022585	ON022585	2018-03-15	Brazil	Sudeste	São Paulo	Campos do Jordão	10172	Non-human primate	Cebus	Hill et al	2022-03-16
ON022584	ON022584	2018-03-17	Brazil	Sudeste	São Paulo	Pindamonhangaba	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022674	ON022674	2018-03-19	Brazil	Sudeste	São Paulo	Embu Guaçu	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022438	ON022438	2018-03-20	Brazil	Sudeste	Rio de Janeiro	Volta Redonda	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022292	ON022292	2018-03-20	Brazil	Sudeste	São Paulo	Itapetininga	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022668	ON022668	2018-03-20	Brazil	Sudeste	São Paulo	Itapetininga	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022593	ON022593	2018-03-21	Brazil	Sudeste	São Paulo	Taubaté	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022315	ON022315	2018-03-21	Brazil	Sudeste	São Paulo	Vinhedo	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022298	ON022298	2018-03-23	Brazil	Sudeste	São Paulo	Peruíbe	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022312	ON022312	2018-03-24	Brazil	Sudeste	São Paulo	Taubaté	10172	Non-human primate	Callithrix	Hill et al	2022-03-16
ON022313	ON022313	2018-03-24	Brazil	Sudeste	São Paulo	Ubatuba	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022694	ON022694	2018-03-25	Brazil	Sudeste	São Paulo	São Miguel Arcanjo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022669	ON022669	2018-03-26	Brazil	Sudeste	São Paulo	Tambaú	10172	Non-human primate	Callicebus	Hill et al	2022-03-16
MK583181	MK583181	2018-03-27	Brazil	Sudeste	São Paulo	São Lourenço da Serra	10943	Human	Homo sapiens	Cunha et al	2019-02-28
ON022351	ON022351	2018-03-27	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022542	ON022542	2018-03-28	Brazil	Sudeste	São Paulo	Guarulhos	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022541	ON022541	2018-03-28	Brazil	Sudeste	São Paulo	São Bento do Sapucaí	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022308	ON022308	2018-04-02	Brazil	Sudeste	São Paulo	São Sebastião	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022457	ON022457	2018-04-03	Brazil	Sudeste	Rio de Janeiro	Cachoeiras de Macacu	10172	Non-human primate	Callithrix	Hill et al	2022-03-16
ON022465	ON022465	2018-04-03	Brazil	Sudeste	Rio de Janeiro	Vassouras	10172	Non-human primate	Callithrix	Hill et al	2022-03-16
ON022394	ON022394	2018-04-06	Brazil	Sudeste	Minas Gerais	Tiradentes	10172	Non-human primate	Callithrix penicillata	Hill et al	2022-03-16
ON022441	ON022441	2018-04-09	Brazil	Sudeste	Rio de Janeiro	Itatiaia	10172	Non-human primate	Callicebus	Hill et al	2022-03-16
ON022376	ON022376	2018-04-11	Brazil	Sudeste	Minas Gerais	Conceição do Rio Verde	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022309	ON022309	2018-04-11	Brazil	Sudeste	São Paulo	São Sebastião	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022543	ON022543	2018-04-11	Brazil	Sudeste	São Paulo	Ubatuba	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022448	ON022448	2018-04-12	Brazil	Sudeste	Rio de Janeiro	Itatiaia	10172	Non-human primate	Callithrix	Hill et al	2022-03-16
ON022462	ON022462	2018-04-13	Brazil	Sudeste	Rio de Janeiro	Volta Redonda	10172	Non-human primate	Callithrix	Hill et al	2022-03-16
ON022544	ON022544	2018-04-15	Brazil	Sudeste	São Paulo	Ubatuba	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022314	ON022314	2018-04-16	Brazil	Sudeste	São Paulo	Valinhos	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022377	ON022377	2018-04-17	Brazil	Sudeste	Minas Gerais	Brás Pires	10172	Non-human primate	Callithrix penicillata	Hill et al	2022-03-16
ON022442	ON022442	2018-04-17	Brazil	Sudeste	Rio de Janeiro	Cachoeiras de Macacu	10172	Non-human primate	Callithrix	Hill et al	2022-03-16
ON022352	ON022352	2018-04-18	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022307	ON022307	2018-04-20	Brazil	Sudeste	São Paulo	São Sebastião	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022295	ON022295	2018-04-23	Brazil	Sudeste	São Paulo	Jarinu	10172	Mosquito	Haemagogus leucocelaenus	Hill et al	2022-03-16
MK882603	MK882603	2018-04-24	Brazil	Sudeste	Rio de Janeiro	Silva Jardim	10169	Human	Homo sapiens	Giovanetti et al	2019-05-03
MK882600	MK882600	2018-04-24	Brazil	Sudeste	Rio de Janeiro	Silva Jardim	10169	Human	Homo sapiens	Giovanetti et al	2019-05-03
ON022595	ON022595	2018-05-03	Brazil	Sudeste	São Paulo	São Sebastião	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022306	ON022306	2018-05-13	Brazil	Sudeste	São Paulo	São Miguel Arcanjo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022289	ON022289	2018-05-23	Brazil	Sudeste	São Paulo	Igaratá	10172	Mosquito	Haemagogus janthinomys capricornii	Hill et al	2022-03-16
ON022290	ON022290	2018-05-23	Brazil	Sudeste	São Paulo	Igaratá	10172	Mosquito	Haemagogus leucocelaenus	Hill et al	2022-03-16
ON022291	ON022291	2018-05-28	Brazil	Sudeste	São Paulo	Igaratá	10172	Mosquito	Haemagogus leucocelaenus	Hill et al	2022-03-16
ON022293	ON022293	2018-05-28	Brazil	Sudeste	São Paulo	Jacareí	10172	Mosquito	Haemagogus leucocelaenus	Hill et al	2022-03-16
ON022294	ON022294	2018-05-28	Brazil	Sudeste	São Paulo	Jacareí	10172	Mosquito	Haemagogus leucocelaenus	Hill et al	2022-03-16
ON022733	ON022733	2018-06-04	Brazil	Sudeste	Rio de Janeiro	Rio de Janeiro	9884	Non-human primate	Callithrix	Hill et al	2022-03-16
ON022583	ON022583	2018-06-05	Brazil	Sudeste	São Paulo	São Sebastião	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022577	ON022577	2018-06-08	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022660	ON022660	2018-06-15	Brazil	Sudeste	São Paulo	Caraguatatuba	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022286	ON022286	2018-06-25	Brazil	Sudeste	São Paulo	Caçapava	10172	Mosquito	Haemagogus janthinomys capricornii	Hill et al	2022-03-16
ON022724	ON022724	2018-07-02	Brazil	Sudeste	Rio de Janeiro	Angra dos Reis	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022305	ON022305	2018-07-04	Brazil	Sudeste	São Paulo	São José dos Campos	10172	Mosquito	Haemagogus janthinomys capricornii	Hill et al	2022-03-16
ON022304	ON022304	2018-07-04	Brazil	Sudeste	São Paulo	São José dos Campos	10172	Mosquito	Haemagogus leucocelaenus	Hill et al	2022-03-16
ON022287	ON022287	2018-07-20	Brazil	Sudeste	São Paulo	Caraguatatuba	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022728	ON022728	2018-09-02	Brazil	Sudeste	Rio de Janeiro	Teresópolis	9884	Human	Homo sapiens	Hill et al	2022-03-16
MK457700	MK457700	2018-10-14	Nigeria				10493	Human	Homo sapiens	Ajogbasile et al	2019-01-28
MK457701	MK457701	2018-10-22	Nigeria				10684	Human	Homo sapiens	Ajogbasile et al	2019-01-28
MW308134	MW308134	2018-10-26	Brazil	Sudeste	São Paulo	Cunha	10955	Human	Homo sapiens	Cunha et al	2020-11-27
MK292067	MK292067	2018-11-19	Netherlands				10770	Human	Homo sapiens	Cotten et al	2018-12-12
ON022283	ON022283	2018-11-21	Brazil	Sudeste	São Paulo	Águas de Lindóia	10172	Non-human primate	Callicebus	Hill et al	2022-03-16
ON022746	ON022746	2018-XX-XX	Brazil	Sudeste	São Paulo	São Paulo	10172	Human	Homo sapiens	Hill et al	2022-03-16
MZ604873	MZ604873	2018-XX-XX	Brazil				10185	Human	Homo sapiens	Salles et al	2021-07-21
MZ604868	MZ604868	2018-XX-XX	Brazil				10377	Human	Homo sapiens	Salles et al	2021-07-21
MZ604840	MZ604840	2018-XX-XX	Brazil				10276	Human	Homo sapiens	Salles et al	2021-07-21
MZ604866	MZ604866	2018-XX-XX	Brazil				10836	Human	Homo sapiens	Salles et al	2021-07-21
MZ604861	MZ604861	2018-XX-XX	Brazil				10283	Human	Homo sapiens	Salles et al	2021-07-21
MZ604856	MZ604856	2018-XX-XX	Brazil				10504	Human	Homo sapiens	Salles et al	2021-07-21
MZ604865	MZ604865	2018-XX-XX	Brazil				10836	Human	Homo sapiens	Salles et al	2021-07-21
MZ604842	MZ604842	2018-XX-XX	Brazil				10288	Human	Homo sapiens	Salles et al	2021-07-21
MZ604876	MZ604876	2018-XX-XX	Brazil				10306	Human	Homo sapiens	Salles et al	2021-07-21
MZ604859	MZ604859	2018-XX-XX	Brazil				10279	Human	Homo sapiens	Salles et al	2021-07-21
MZ604872	MZ604872	2018-XX-XX	Brazil				9813	Human	Homo sapiens	Salles et al	2021-07-21
MZ604870	MZ604870	2018-XX-XX	Brazil				10274	Human	Homo sapiens	Salles et al	2021-07-21
MZ604862	MZ604862	2018-XX-XX	Brazil				10335	Human	Homo sapiens	Salles et al	2021-07-21
MZ604845	MZ604845	2018-XX-XX	Brazil				10289	Human	Homo sapiens	Salles et al	2021-07-21
MW960207	MW960207	2018-XX-XX	Central African Republic				10830	Human	Homo sapiens	Simo Tchetgna et al	2021-04-16
OM938989	OM938989	2018-XX-XX	France				10862	Other	vero cells	Esson et al	2022-03-07
MN958078	MN958078	2018-XX-XX	Nigeria				10611	Human	Homo sapiens	Ajogbasile et al	2020-01-17
ON022319	ON022319	2019-01-01	Brazil	Sudeste	São Paulo	Iguape	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022555	ON022555	2019-01-09	Brazil	Sudeste	São Paulo	Osasco	10172	Human	Homo sapiens	Hill et al	2022-03-16
MK533792	MK533792	2019-01-10	Brazil	Sudeste	Rio de Janeiro	Casimiro de Abreu	11007	Non-human primate	Alouatta guariba clamitans	Abreu et al	2019-02-18
ON022556	ON022556	2019-01-14	Brazil	Sudeste	São Paulo	Eldorado	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022557	ON022557	2019-01-14	Brazil	Sudeste	São Paulo	Eldorado	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022546	ON022546	2019-01-15	Brazil	Sudeste	São Paulo	Eldorado	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022545	ON022545	2019-01-15	Brazil	Sudeste	São Paulo	Eldorado	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022368	ON022368	2019-01-15	Brazil	Sudeste	São Paulo	Itapeva	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022696	ON022696	2019-01-15	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022547	ON022547	2019-01-18	Brazil	Sudeste	São Paulo	Eldorado	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022548	ON022548	2019-01-19	Brazil	Sudeste	São Paulo	Cananéia	10172	Human	Homo sapiens	Hill et al	2022-03-16
MW308135	MW308135	2019-01-20	Brazil	Sudeste	São Paulo	Iporanga	10963	Human	Homo sapiens	Cunha et al	2020-11-27
ON022558	ON022558	2019-01-20	Brazil	Sudeste	São Paulo	Iporanga	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022563	ON022563	2019-01-20	Brazil	Sudeste	São Paulo	Iporanga	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022367	ON022367	2019-01-21	Brazil	Sudeste	São Paulo	Iporanga	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
OP508593	OP508593	2019-01-22	Brazil				10101	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
ON022549	ON022549	2019-01-29	Brazil	Sudeste	São Paulo	Cajati	9884	Human	Homo sapiens	Hill et al	2022-03-16
ON022550	ON022550	2019-01-30	Brazil	Sudeste	São Paulo	São Paulo	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022369	ON022369	2019-01-31	Brazil	Sudeste	São Paulo	Barra do Chapéu	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022559	ON022559	2019-01-31	Brazil	Sudeste	São Paulo	Cajati	10172	Human	Homo sapiens	Hill et al	2022-03-16
OP508590	OP508590	2019-01-31	Brazil				10128	Human	Homo sapiens	Giovanetti et al	2022-09-21
OP508675	OP508675	2019-02-01	Brazil				10170	Mosquito	Haemagogus janthinomis/capricornii	Giovanetti et al	2022-09-21
OP508587	OP508587	2019-02-01	Brazil				10055	Human	Homo sapiens	Giovanetti et al	2022-09-21
ON022560	ON022560	2019-02-06	Brazil	Sudeste	São Paulo	Barra do Turvo	10172	Human	Homo sapiens	Hill et al	2022-03-16
MN708496	MN708496	2019-02-07	Belgium				10862			Kum et al	2019-11-18
MN708495	MN708495	2019-02-07	Belgium				10862			Kum et al	2019-11-18
MN708497	MN708497	2019-02-07	Belgium				10862			Kum et al	2019-11-18
MN708493	MN708493	2019-02-07	Belgium				10862			Kum et al	2019-11-18
MN708491	MN708491	2019-02-07	Belgium				10862			Kum et al	2019-11-18
MN708490	MN708490	2019-02-07	Belgium				10862			Kum et al	2019-11-18
MN708492	MN708492	2019-02-07	Belgium				10862			Kum et al	2019-11-18
MN708494	MN708494	2019-02-07	Belgium				10862			Kum et al	2019-11-18
MN708489	MN708489	2019-02-07	Belgium				10862			Kum et al	2019-11-18
ON022562	ON022562	2019-02-07	Brazil	Sudeste	São Paulo	Barra do Turvo	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022561	ON022561	2019-02-07	Brazil	Sudeste	São Paulo	Barra do Turvo	10172	Human	Homo sapiens	Hill et al	2022-03-16
MW249091	MW249091	2019-02-07	France				10714	Human	Homo sapiens	Bakoa et al	2020-11-10
MW249074	MW249074	2019-02-07	France				10715	Human	Homo sapiens	Bakoa et al	2020-11-10
MW249083	MW249083	2019-02-07	France				10715	Human	Homo sapiens	Bakoa et al	2020-11-10
MW249087	MW249087	2019-02-07	France				10727	Human	Homo sapiens	Bakoa et al	2020-11-10
MW249077	MW249077	2019-02-07	France				10717	Human	Homo sapiens	Bakoa et al	2020-11-10
MW249094	MW249094	2019-02-07	France				10715	Human	Homo sapiens	Bakoa et al	2020-11-10
MW249088	MW249088	2019-02-07	France				10715	Human	Homo sapiens	Bakoa et al	2020-11-10
MW249086	MW249086	2019-02-07	France				10715	Human	Homo sapiens	Bakoa et al	2020-11-10
MW249092	MW249092	2019-02-07	France				10715	Human	Homo sapiens	Bakoa et al	2020-11-10
MW249076	MW249076	2019-02-07	France				10715	Human	Homo sapiens	Bakoa et al	2020-11-10
MW249079	MW249079	2019-02-07	France				10715	Human	Homo sapiens	Bakoa et al	2020-11-10
MW249090	MW249090	2019-02-07	France				10714	Human	Homo sapiens	Bakoa et al	2020-11-10
MW249089	MW249089	2019-02-07	France				10714	Human	Homo sapiens	Bakoa et al	2020-11-10
MW249093	MW249093	2019-02-07	France				10716	Human	Homo sapiens	Bakoa et al	2020-11-10
MW249078	MW249078	2019-02-07	France				10727	Human	Homo sapiens	Bakoa et al	2020-11-10
MW249075	MW249075	2019-02-07	France				10715	Human	Homo sapiens	Bakoa et al	2020-11-10
MW249084	MW249084	2019-02-07	France				10715	Human	Homo sapiens	Bakoa et al	2020-11-10
MW249095	MW249095	2019-02-07	France				10715	Human	Homo sapiens	Bakoa et al	2020-11-10
MW249085	MW249085	2019-02-07	France				10714	Human	Homo sapiens	Bakoa et al	2020-11-10
MW249082	MW249082	2019-02-07	France				10714	Human	Homo sapiens	Bakoa et al	2020-11-10
MW249080	MW249080	2019-02-07	France				10862	Human	Homo sapiens	Bakoa et al	2020-11-10
MW249081	MW249081	2019-02-07	France				10714	Human	Homo sapiens	Bakoa et al	2020-11-10
MN708488	MN708488	2019-02-07	France				10862			Kum et al	2019-11-18
ON022551	ON022551	2019-02-17	Brazil	Sudeste	São Paulo	Registro	10172	Human	Homo sapiens	Hill et al	2022-03-16
OP508592	OP508592	2019-02-18	Brazil				10165	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
ON022370	ON022370	2019-02-19	Brazil				10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022552	ON022552	2019-02-24	Brazil	Sudeste	São Paulo	Barra do Turvo	10172	Human	Homo sapiens	Hill et al	2022-03-16
OP508676	OP508676	2019-03-01	Brazil	Sul	Paraná	Paranaguá	10141	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508591	OP508591	2019-03-14	Brazil				10086	Human	Homo sapiens	Giovanetti et al	2022-09-21
OP508682	OP508682	2019-03-20	Brazil	Sul	Paraná	São José dos Pinhais	10208	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508594	OP508594	2019-03-21	Brazil				10050	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508614	OP508614	2019-03-30	Brazil				10083	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
ON022676	ON022676	2019-04-16	Brazil	Sudeste	São Paulo	Itapetininga	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
OP508595	OP508595	2019-04-16	Brazil				10085	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508596	OP508596	2019-04-23	Brazil				10077	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508688	OP508688	2019-04-29	Brazil	Sul	Paraná	Carambeí	10529	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508597	OP508597	2019-05-20	Brazil				9981	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508598	OP508598	2019-05-27	Brazil				10106	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508599	OP508599	2019-11-13	Brazil				10090	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508600	OP508600	2019-11-21	Brazil				10076	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
MN737509	MN737509	2019-11-21	Brazil				10862			Andrade et al	2019-11-26
OP508601	OP508601	2019-11-26	Brazil				10113	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508602	OP508602	2019-11-28	Brazil				10094	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508605	OP508605	2019-12-03	Brazil				9955	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508603	OP508603	2019-12-04	Brazil				9994	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508604	OP508604	2019-12-05	Brazil				9948	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
MZ604838	MZ604838	2019-XX-XX	Brazil				10261	Human	Homo sapiens	Salles et al	2021-07-21
MZ604854	MZ604854	2019-XX-XX	Brazil				10866	Human	Homo sapiens	Salles et al	2021-07-21
MZ604875	MZ604875	2019-XX-XX	Brazil				10279	Human	Homo sapiens	Salles et al	2021-07-21
MZ604847	MZ604847	2019-XX-XX	Brazil				10277	Human	Homo sapiens	Salles et al	2021-07-21
MZ604863	MZ604863	2019-XX-XX	Brazil				10287	Human	Homo sapiens	Salles et al	2021-07-21
MZ604852	MZ604852	2019-XX-XX	Brazil				10282	Human	Homo sapiens	Salles et al	2021-07-21
MZ604848	MZ604848	2019-XX-XX	Brazil				10838	Human	Homo sapiens	Salles et al	2021-07-21
MZ604871	MZ604871	2019-XX-XX	Brazil				10864	Human	Homo sapiens	Salles et al	2021-07-21
MZ604851	MZ604851	2019-XX-XX	Brazil				10276	Human	Homo sapiens	Salles et al	2021-07-21
MZ604850	MZ604850	2019-XX-XX	Brazil				10282	Human	Homo sapiens	Salles et al	2021-07-21
MZ604843	MZ604843	2019-XX-XX	Brazil				10081	Human	Homo sapiens	Salles et al	2021-07-21
MZ604874	MZ604874	2019-XX-XX	Brazil				10283	Human	Homo sapiens	Salles et al	2021-07-21
MZ604849	MZ604849	2019-XX-XX	Brazil				10010	Human	Homo sapiens	Salles et al	2021-07-21
MZ604869	MZ604869	2019-XX-XX	Brazil				10279	Human	Homo sapiens	Salles et al	2021-07-21
MZ604841	MZ604841	2019-XX-XX	Brazil				10282	Human	Homo sapiens	Salles et al	2021-07-21
MZ604846	MZ604846	2019-XX-XX	Brazil				10881	Human	Homo sapiens	Salles et al	2021-07-21
MZ604855	MZ604855	2019-XX-XX	Brazil				10205	Human	Homo sapiens	Salles et al	2021-07-21
MZ604853	MZ604853	2019-XX-XX	Brazil				10866	Human	Homo sapiens	Salles et al	2021-07-21
MZ604858	MZ604858	2019-XX-XX	Brazil				10858	Human	Homo sapiens	Salles et al	2021-07-21
MZ604844	MZ604844	2019-XX-XX	Brazil				10279	Human	Homo sapiens	Salles et al	2021-07-21
MZ604864	MZ604864	2019-XX-XX	Brazil				10849	Human	Homo sapiens	Salles et al	2021-07-21
MZ604860	MZ604860	2019-XX-XX	Brazil				10272	Human	Homo sapiens	Salles et al	2021-07-21
MZ604839	MZ604839	2019-XX-XX	Brazil				10258	Human	Homo sapiens	Salles et al	2021-07-21
MZ604857	MZ604857	2019-XX-XX	Brazil				10850	Human	Homo sapiens	Salles et al	2021-07-21
MZ604867	MZ604867	2019-XX-XX	Brazil				10854	Human	Homo sapiens	Salles et al	2021-07-21
OM938990	OM938990	2019-XX-XX	France				10862	Other	vero cells	Esson et al	2022-03-07
OP508606	OP508606	2020-01-04	Brazil				9974	Non-human primate	Alouatta guariba clamitans	Giovanetti et al	2022-09-21
OP508696	OP508696	2020-01-06	Brazil	Sul	Paraná	Balsa Nova	10158	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508608	OP508608	2020-01-09	Brazil				10012	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508607	OP508607	2020-01-12	Brazil				9889	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508609	OP508609	2020-01-15	Brazil				9949	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508613	OP508613	2020-01-16	Brazil				9968	Non-human primate	Alouatta guariba clamitans	Giovanetti et al	2022-09-21
OP508700	OP508700	2020-01-20	Brazil	Sul	Paraná	Antônio Olinto	10218	Non-human primate	Alouatta guariba clamitans	Giovanetti et al	2022-09-21
OP508620	OP508620	2020-01-20	Brazil				10091	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
